cluster,radius,x,y
3,13.112535167220194,418.4648776786116,441.0390176088724
7,5.109421629313969,418.3839366387755,60.606761826883286
5,6.399684516410465,280.5123371533118,250.4649517014623
1,5.353685417110638,642.5425979722578,368.37664308782115
2,9.667569241896562,542.7656292039256,441.0557837912522
0,3.9384915875176345,680.0402610462625,250.84961532638408
4,1.571984771464654,318.76885394246244,368.4969821473249
0,2.8000264276137066,680.1912934342399,250.0133677246049
0,3.2017409371021435,680.4692866180558,250.32656607264653
8,19.854971638346925,541.8850022851775,59.846919028536604
5,12.293038053510433,280.20919276657514,250.61264462443071
9,24.228683858463427,642.7223479043978,133.03159999371124
4,7.445551802003653,318.7010635899559,368.01829506444193
3,6.613311649345535,419.09800948325477,440.54067466852143
6,12.752909334239735,318.7326993926607,133.1470062643159
2,3.141408731906364,542.7264889135778,440.570647446689
9,13.755586482500696,642.4098821826565,133.2761081772725
7,4.931984469659047,418.3377779515639,60.38438170587759
0,2.445757389387995,680.970882355934,250.9852028361056
4,10.048264745191311,319.0026540209718,367.62567051138177
4,10.39983124590512,318.52875106089675,368.06755438946567
3,12.684235707876542,419.0639862479356,440.9201516399801
7,16.23363287204945,418.4745992746383,59.879318685020536
7,18.02497885887232,418.7211957502358,60.01691493227261
7,11.285297578542357,418.7766304740861,60.58790621858205
6,14.947016158824683,318.5242359466564,132.48787076946905
7,11.206298258423418,418.48457947379836,59.86971273131783
6,13.511607088221218,318.4231442227673,132.85957208474724
5,4.732379180768487,280.04184341803193,250.58028729190121
3,1.2352164109864177,418.7569385076121,440.28775278899707
4,8.895406976516556,318.76233593893164,367.57319201516367
9,10.006870503999414,642.7070683354332,132.4979870586059
3,4.553119871283067,418.2364502051559,440.73105151813365
0,1.907476471999248,680.2310793839861,250.56989199179225
0,3.0394117753751795,680.3522501494735,250.19694326189347
7,6.016525965060481,418.5518042755492,60.139112553774595
8,2.872381632444971,542.746360588987,60.388233951275424
8,1.5966075120576124,542.7116445900692,60.511025942378865
6,3.840057623413583,318.6269897067167,133.32646446128933
8,8.406972561591243,541.8765936295322,60.40435167609826
